"label","name","lat","lng"
"Bus Stop","Hartley St/Lorimer St (Southbank)",-37.823559,144.939463
"Bus Stop","Rogers St/Lorimer St (Port Melbourne)",-37.823121,144.937101
"Bus Stop","Ingles St/Lorimer St (Port Melbourne)",-37.82222,144.933002
"Bus Stop","Graham St/Lorimer St (Port Melbourne)",-37.821562,144.929942
"Bus Stop","Hall St/Lorimer St (Port Melbourne)",-37.820956,144.92571
"Bus Stop","Salmon St/Lorimer St (Port Melbourne)",-37.82089,144.921474
"Bus Stop","Westside Ave/Lorimer St (Port Melbourne)",-37.821109,144.91856
"Bus Stop","City Rd/Queens Bridge St (Southbank)",-37.825552,144.960244
"Bus Stop","Exhibition Building/Rathdowne St (Carlton)",-37.804299,144.969472
"Bus Stop","Carlton Gardens/Rathdowne St (Carlton)",-37.801478,144.969947
"Bus Stop","Elgin St/Rathdowne St (Carlton)",-37.797901,144.970534
"Bus Stop","Freight Terminal/Dynon Rd (West Melbourne)",-37.802706,144.925142
"Bus Stop","Lloyd St/Dynon Rd (West Melbourne)",-37.80324,144.929886
"Bus Stop","Radcliffe St/Dynon Rd (West Melbourne)",-37.803835,144.932424
"Bus Stop","Carlton Gardens/Victoria St (Carlton)",-37.807483,144.97118
"Bus Stop","Melbourne Central/Lonsdale St (Melbourne City)",-37.811598,144.964195
"Bus Stop","Collins St/Queen St (Melbourne City)",-37.816545,144.961571
"Bus Stop","Clarendon St/City Rd (Southbank)",-37.82808,144.957425
"Bus Stop","City Rd/Queens Bridge St (Southbank)",-37.82602,144.959743
"Bus Stop","Victoria St/Rathdowne St (Carlton)",-37.806954,144.968752
"Bus Stop","Exhibition Building/Rathdowne St (Carlton)",-37.804815,144.969106
"Bus Stop","Grattan St/Lygon St (Carlton)",-37.801107,144.966755
"Bus Stop","Argyle Square/Lygon St (Carlton)",-37.802626,144.966508
"Bus Stop","Queensberry St/Lygon St (Carlton)",-37.805204,144.96604
"Bus Stop","Adderley St/Dudley St (West Melbourne)",-37.810837,144.948404
"Bus Stop","Festival Hall/Dudley St (West Melbourne)",-37.811035,144.947354
"Bus Stop","Waterfront City/Footscray Rd (West Melbourne)",-37.811836,144.941095
"Bus Stop","North Melbourne Station/Dryburgh St (West Melbourne)",-37.806943,144.942651
"Bus Stop","Queen St/Lonsdale St (Melbourne City)",-37.813269,144.959219
"Bus Stop","Melbourne University/Swanston St (Carlton)",-37.800121,144.963908
"Bus Stop","Nicholson St/Elgin St (Carlton)",-37.797756,144.974138
"Bus Stop","Faraday St/Lygon St (Carlton)",-37.798969,144.967143
"Bus Stop","Melbourne Museum/Rathdowne St (Carlton)",-37.8023,144.96955
"Bus Stop","Grattan St/Rathdowne St (Carlton)",-37.800692,144.969844
"Bus Stop","Elgin St/Rathdowne St (Carlton)",-37.797762,144.970333
"Bus Stop","A'Beckett St/Queen St (Melbourne City)",-37.810236,144.958405
