census_year,block_id,property_id,base_property_id,building_address,clue_small_area,business_address,trading_name,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,customer_rate
2012,23,102100,102100,433-455 Collins Street MELBOURNE 3000,Melbourne (CBD),447 Collins Street MELBOURNE 3000,The Moat Coffee Shop,4511,Cafes and Restaurants,Seats - Indoor,20,144.95988,-37.81798,3.5
2021,85,105746,105746,Melbourne Central 183-265 La Trobe Street MELBOURNE VIC 3000,Melbourne (CBD),Shop 313 Level 3 300 Lonsdale Street MELBOURNE VIC 3000,TGI Fridays Restarant & Bar,4511,Cafes and Restaurants,Seats - Indoor,330,144.96284,-37.8109,3.7
2016,252,111068,106250,106 Lygon Street CARLTON 3053,Carlton,106 Lygon Street CARLTON 3053,Saigon Pho Carlton,4511,Cafes and Restaurants,Seats - Outdoor,10,144.96539,-37.80608,4.3
2014,1109,584059,584059,2-16 Newquay Promenade DOCKLANDS 3008,Docklands,10 Newquay Promenade DOCKLANDS 3008,Waterside Oriental Bistro,4511,Cafes and Restaurants,Seats - Outdoor,15,144.94369,-37.81381,3.9
2002,31,102110,102110,582-606 Collins Street MELBOURNE 3000,Melbourne (CBD),Shop 1 600 Collins Street MELBOURNE 3000,Sparkling Cafe,4511,Cafes and Restaurants,Seats - Indoor,44,144.95363,-37.82014,3.5
2012,24,110762,110762,303-317 Collins Street MELBOURNE 3000,Melbourne (CBD),Lobby  303 Collins Street MELBOURNE 3000,Cafe On Collins,4511,Cafes and Restaurants,Seats - Indoor,32,144.96382,-37.81663,4.2
2002,72,110708,110707,535 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Shop 1 535 Little Lonsdale Street MELBOURNE 3000,Flagstaff Cafe,4511,Cafes and Restaurants,Seats - Outdoor,20,144.95469,-37.81509,3.5
2012,1101,110843,110843,163-261 Spencer Street DOCKLANDS 3008,Docklands,Ground  167 Spencer Street DOCKLANDS 3008,Hungry Jacks,4511,Cafes and Restaurants,Seats - Indoor,48,144.95056,-37.81451,3.7
2012,252,106244,106244,160-162 Lygon Street CARLTON 3053,Carlton,Level 1 160-162 Lygon Street CARLTON 3053,Bar Centrale Function Room,4511,Cafes and Restaurants,Seats - Indoor,150,144.96677,-37.80344,3.7
2011,54,104651,104651,13-15 Hardware Lane MELBOURNE 3000,Melbourne (CBD),Ground  13-15 Hardware Lane MELBOURNE 3000,Jeremy's Hardware Lane Cafe & Bar,4511,Cafes and Restaurants,Seats - Indoor,55,144.96141,-37.81429,3.4
2014,205,573289,573289,714-736 Swanston Street CARLTON 3053,Carlton,Part Ground  720 Swanston Street CARLTON 3053,Toothpicks Cafe,4511,Cafes and Restaurants,Seats - Outdoor,36,144.96489,-37.79946,3.6
2013,17,108593,108593,24-30 Russell Street MELBOURNE 3000,Melbourne (CBD),Ground  24 Russell Street MELBOURNE 3000,PM24,4511,Cafes and Restaurants,Seats - Indoor,120,144.96989,-37.816,3.7
2016,85,105746,105746,183-265 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Shop 311 Level 3 300 La Trobe Street MELBOURNE 3000,Asian Beer Cafe,4511,Cafes and Restaurants,Seats - Indoor,687,144.96146,-37.81215,4
2006,18,108977,108977,25-31 Spring Street MELBOURNE 3000,Melbourne (CBD),1 Spring Street MELBOURNE 3000,Verge Restuarant,4511,Cafes and Restaurants,Seats - Indoor,70,144.97279,-37.81618,4.2
2017,62,105862,105862,542-546 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Shop 1 Ground  542-546 Little Bourke Street MELBOURNE 3000,SMXL,4511,Cafes and Restaurants,Seats - Indoor,50,144.9564,-37.8148,4.2
2004,247,106229,106229,246-252 Lygon Street CARLTON 3053,Carlton,Unit 5 252 Lygon Street CARLTON 3053,Villa Romana,4511,Cafes and Restaurants,Seats - Outdoor,60,144.96602,-37.80301,3.4
2017,46,109415,109415,134-142 Swanston Street MELBOURNE 3000,Melbourne (CBD),140 Swanston Street MELBOURNE 3000,L'Incontro,4511,Cafes and Restaurants,Seats - Outdoor,100,144.96629,-37.81431,3.4
