"Place","Distance","Theme","Count"
"Newmarket Reserve","5km - 10km","Place of Worship",13
"Newmarket Reserve","5km - 10km","Public and Institutional Facilities",25
"Royal Womens Hospital","Within 500m","Health Services",3
"Royal Womens Hospital","Within 500m","Place of Worship",1
"Royal Womens Hospital","Within 500m","Public and Institutional Facilities",4
"Royal Womens Hospital","500m - 1km","Health Services",2
"Royal Womens Hospital","500m - 1km","Leisure and Recreation",3
"Royal Womens Hospital","500m - 1km","Place Of Assembly",1
"Royal Womens Hospital","500m - 1km","Place of Worship",3
"Royal Womens Hospital","500m - 1km","Public and Institutional Facilities",1
"Royal Womens Hospital","500m - 1km","Retail",1
"Royal Womens Hospital","1km - 5km","Health Services",5
"Royal Womens Hospital","1km - 5km","Leisure and Recreation",62
"Royal Womens Hospital","1km - 5km","Place Of Assembly",39
"Royal Womens Hospital","1km - 5km","Place of Worship",25
"Royal Womens Hospital","1km - 5km","Public and Institutional Facilities",48
"Royal Womens Hospital","1km - 5km","Retail",3
"Royal Womens Hospital","5km - 10km","Health Services",1
"Royal Womens Hospital","5km - 10km","Leisure and Recreation",2
"Royal Womens Hospital","5km - 10km","Place of Worship",2
"Royal Womens Hospital","5km - 10km","Public and Institutional Facilities",1
"Wonderland Park","Within 500m","Leisure and Recreation",4
"Wonderland Park","Within 500m","Public and Institutional Facilities",1
"Wonderland Park","500m - 1km","Leisure and Recreation",2
"Wonderland Park","500m - 1km","Place Of Assembly",1
"Wonderland Park","500m - 1km","Retail",1
"Wonderland Park","1km - 5km","Health Services",10
"Wonderland Park","1km - 5km","Leisure and Recreation",60
"Wonderland Park","1km - 5km","Place Of Assembly",39
"Wonderland Park","1km - 5km","Place of Worship",29
"Wonderland Park","1km - 5km","Public and Institutional Facilities",52
"Wonderland Park","1km - 5km","Retail",3
"Wonderland Park","5km - 10km","Health Services",1
"Wonderland Park","5km - 10km","Leisure and Recreation",1
"Wonderland Park","5km - 10km","Place of Worship",2
"Wonderland Park","5km - 10km","Public and Institutional Facilities",1
"Rod Laver Arena","Within 500m","Leisure and Recreation",5
"Rod Laver Arena","Within 500m","Public and Institutional Facilities",1
"Rod Laver Arena","500m - 1km","Leisure and Recreation",13
"Rod Laver Arena","500m - 1km","Place Of Assembly",12
"Rod Laver Arena","500m - 1km","Place of Worship",1
"Rod Laver Arena","500m - 1km","Public and Institutional Facilities",7
"Rod Laver Arena","1km - 5km","Health Services",11
"Rod Laver Arena","1km - 5km","Leisure and Recreation",42
"Rod Laver Arena","1km - 5km","Place Of Assembly",28
"Rod Laver Arena","1km - 5km","Place of Worship",28
"Rod Laver Arena","1km - 5km","Public and Institutional Facilities",44
"Rod Laver Arena","1km - 5km","Retail",4
"Rod Laver Arena","5km - 10km","Leisure and Recreation",7
"Rod Laver Arena","5km - 10km","Place of Worship",2
"Rod Laver Arena","5km - 10km","Public and Institutional Facilities",2
"Melbourne Park","Within 500m","Leisure and Recreation",6
"Melbourne Park","Within 500m","Public and Institutional Facilities",1
"Melbourne Park","500m - 1km","Leisure and Recreation",12
"Melbourne Park","500m - 1km","Place Of Assembly",12
"Melbourne Park","500m - 1km","Place of Worship",1
"Melbourne Park","500m - 1km","Public and Institutional Facilities",7
"Melbourne Park","1km - 5km","Health Services",11
"Melbourne Park","1km - 5km","Leisure and Recreation",42
"Melbourne Park","1km - 5km","Place Of Assembly",28
"Melbourne Park","1km - 5km","Place of Worship",28
"Melbourne Park","1km - 5km","Public and Institutional Facilities",44
"Melbourne Park","1km - 5km","Retail",4
"Melbourne Park","5km - 10km","Leisure and Recreation",7
"Melbourne Park","5km - 10km","Place of Worship",2
"Melbourne Park","5km - 10km","Public and Institutional Facilities",2
"Hisense Arena","Within 500m","Leisure and Recreation",7
"Hisense Arena","500m - 1km","Leisure and Recreation",8
"Hisense Arena","500m - 1km","Place Of Assembly",4
"Hisense Arena","500m - 1km","Public and Institutional Facilities",2
"Hisense Arena","1km - 5km","Health Services",11
"Hisense Arena","1km - 5km","Leisure and Recreation",42
"Hisense Arena","1km - 5km","Place Of Assembly",36
"Hisense Arena","1km - 5km","Place of Worship",29
"Hisense Arena","1km - 5km","Public and Institutional Facilities",50
"Hisense Arena","1km - 5km","Retail",4
"Hisense Arena","5km - 10km","Leisure and Recreation",10
"Hisense Arena","5km - 10km","Place of Worship",2
"Hisense Arena","5km - 10km","Public and Institutional Facilities",2
"Melbourne Museum","Within 500m","Leisure and Recreation",3
"Melbourne Museum","Within 500m","Place Of Assembly",3
"Melbourne Museum","Within 500m","Place of Worship",2
"Melbourne Museum","Within 500m","Public and Institutional Facilities",1
"Melbourne Museum","500m - 1km","Health Services",2
"Melbourne Museum","500m - 1km","Leisure and Recreation",6
"Melbourne Museum","500m - 1km","Place Of Assembly",9
"Melbourne Museum","500m - 1km","Place of Worship",7
"Melbourne Museum","500m - 1km","Public and Institutional Facilities",6
"Melbourne Museum","1km - 5km","Health Services",9
"Melbourne Museum","1km - 5km","Leisure and Recreation",53
"Melbourne Museum","1km - 5km","Place Of Assembly",28
"Melbourne Museum","1km - 5km","Place of Worship",22
"Melbourne Museum","1km - 5km","Public and Institutional Facilities",46
"Melbourne Museum","1km - 5km","Retail",4
"Melbourne Museum","5km - 10km","Leisure and Recreation",5
"Melbourne Museum","5km - 10km","Public and Institutional Facilities",1
"Elisabeth Murdoch Hall","Within 500m","Leisure and Recreation",2
"Elisabeth Murdoch Hall","Within 500m","Place Of Assembly",8
"Elisabeth Murdoch Hall","Within 500m","Place of Worship",1
"Elisabeth Murdoch Hall","Within 500m","Public and Institutional Facilities",13
"Elisabeth Murdoch Hall","500m - 1km","Leisure and Recreation",13
"Elisabeth Murdoch Hall","500m - 1km","Place Of Assembly",5
"Elisabeth Murdoch Hall","500m - 1km","Place of Worship",1
"Elisabeth Murdoch Hall","500m - 1km","Public and Institutional Facilities",6
"Elisabeth Murdoch Hall","1km - 5km","Health Services",11
"Elisabeth Murdoch Hall","1km - 5km","Leisure and Recreation",47
"Elisabeth Murdoch Hall","1km - 5km","Place Of Assembly",27
"Elisabeth Murdoch Hall","1km - 5km","Place of Worship",29
"Elisabeth Murdoch Hall","1km - 5km","Public and Institutional Facilities",35
"Elisabeth Murdoch Hall","1km - 5km","Retail",4
"Elisabeth Murdoch Hall","5km - 10km","Leisure and Recreation",5
"Melbourne Recital Centre","Within 500m","Leisure and Recreation",2
"Melbourne Recital Centre","Within 500m","Place Of Assembly",8
"Melbourne Recital Centre","Within 500m","Place of Worship",1
"Melbourne Recital Centre","Within 500m","Public and Institutional Facilities",12
"Melbourne Recital Centre","500m - 1km","Leisure and Recreation",13
"Melbourne Recital Centre","500m - 1km","Place Of Assembly",7
"Melbourne Recital Centre","500m - 1km","Place of Worship",1
"Melbourne Recital Centre","500m - 1km","Public and Institutional Facilities",7
"Melbourne Recital Centre","1km - 5km","Health Services",11
"Melbourne Recital Centre","1km - 5km","Leisure and Recreation",47
"Melbourne Recital Centre","1km - 5km","Place Of Assembly",25
"Melbourne Recital Centre","1km - 5km","Place of Worship",29
"Melbourne Recital Centre","1km - 5km","Public and Institutional Facilities",35
"Melbourne Recital Centre","1km - 5km","Retail",4
"Melbourne Recital Centre","5km - 10km","Leisure and Recreation",5
"Hamer Hall","Within 500m","Leisure and Recreation",7
"Hamer Hall","Within 500m","Place Of Assembly",10
"Hamer Hall","Within 500m","Place of Worship",2
"Hamer Hall","Within 500m","Public and Institutional Facilities",11
"Hamer Hall","500m - 1km","Leisure and Recreation",8
"Hamer Hall","500m - 1km","Place Of Assembly",5
"Hamer Hall","500m - 1km","Place of Worship",3
"Hamer Hall","500m - 1km","Public and Institutional Facilities",11
"Hamer Hall","500m - 1km","Retail",2
"Hamer Hall","1km - 5km","Health Services",11
"Hamer Hall","1km - 5km","Leisure and Recreation",47
"Hamer Hall","1km - 5km","Place Of Assembly",25
"Hamer Hall","1km - 5km","Place of Worship",26
"Hamer Hall","1km - 5km","Public and Institutional Facilities",32
"Hamer Hall","1km - 5km","Retail",2
"Hamer Hall","5km - 10km","Leisure and Recreation",5
"J.J Holland Park","Within 500m","Leisure and Recreation",1
"J.J Holland Park","500m - 1km","Leisure and Recreation",1
"J.J Holland Park","500m - 1km","Place of Worship",2
"J.J Holland Park","500m - 1km","Public and Institutional Facilities",2
"J.J Holland Park","1km - 5km","Health Services",7
"J.J Holland Park","1km - 5km","Leisure and Recreation",49
"J.J Holland Park","1km - 5km","Place Of Assembly",34
"J.J Holland Park","1km - 5km","Place of Worship",24
"J.J Holland Park","1km - 5km","Public and Institutional Facilities",46
"J.J Holland Park","1km - 5km","Retail",4
"J.J Holland Park","5km - 10km","Health Services",4
"J.J Holland Park","5km - 10km","Leisure and Recreation",16
"J.J Holland Park","5km - 10km","Place Of Assembly",6
"J.J Holland Park","5km - 10km","Place of Worship",5
"J.J Holland Park","5km - 10km","Public and Institutional Facilities",6
"Royal Childrens Hospital","Within 500m","Health Services",1
"Royal Childrens Hospital","Within 500m","Place of Worship",1
"Royal Childrens Hospital","500m - 1km","Health Services",3
"Royal Childrens Hospital","500m - 1km","Leisure and Recreation",4
"Royal Childrens Hospital","500m - 1km","Place of Worship",2
"Royal Childrens Hospital","500m - 1km","Public and Institutional Facilities",4
"Royal Childrens Hospital","1km - 5km","Health Services",6
"Royal Childrens Hospital","1km - 5km","Leisure and Recreation",60
"Royal Childrens Hospital","1km - 5km","Place Of Assembly",39
"Royal Childrens Hospital","1km - 5km","Place of Worship",25
"Royal Childrens Hospital","1km - 5km","Public and Institutional Facilities",47
"Royal Childrens Hospital","1km - 5km","Retail",4
"Royal Childrens Hospital","5km - 10km","Health Services",1
"Royal Childrens Hospital","5km - 10km","Leisure and Recreation",3
"Royal Childrens Hospital","5km - 10km","Place Of Assembly",1
"Royal Childrens Hospital","5km - 10km","Place of Worship",3
"Royal Childrens Hospital","5km - 10km","Public and Institutional Facilities",3
"National Sports Museum","Within 500m","Leisure and Recreation",3
"National Sports Museum","Within 500m","Place Of Assembly",2
"National Sports Museum","500m - 1km","Health Services",2
"National Sports Museum","500m - 1km","Leisure and Recreation",10
"National Sports Museum","500m - 1km","Place Of Assembly",2
"National Sports Museum","500m - 1km","Place of Worship",2
"National Sports Museum","500m - 1km","Public and Institutional Facilities",1
"National Sports Museum","1km - 5km","Health Services",9
"National Sports Museum","1km - 5km","Leisure and Recreation",47
"National Sports Museum","1km - 5km","Place Of Assembly",36
"National Sports Museum","1km - 5km","Place of Worship",27
"National Sports Museum","1km - 5km","Public and Institutional Facilities",51
"National Sports Museum","1km - 5km","Retail",4
"National Sports Museum","5km - 10km","Leisure and Recreation",7
"National Sports Museum","5km - 10km","Place of Worship",2
"National Sports Museum","5km - 10km","Public and Institutional Facilities",2
"State Coroners Public and Institutional Facilities","Within 500m","Leisure and Recreation",1
"State Coroners Public and Institutional Facilities","Within 500m","Place Of Assembly",7
"State Coroners Public and Institutional Facilities","Within 500m","Place of Worship",1
"State Coroners Public and Institutional Facilities","Within 500m","Public and Institutional Facilities",13
"State Coroners Public and Institutional Facilities","500m - 1km","Leisure and Recreation",11
"State Coroners Public and Institutional Facilities","500m - 1km","Place Of Assembly",9
